landuse,textabbr_fingprob,text_fingprob,calccarb_hcl,som_elmntprc,ph_cacl2,lime_requirement,p_calmg100g,k_calmg100g,mg_catmgkg,b_catmgkg,mn_catmgkg,cu_catmgkg,zn_catmgkg,clay,silt,sand
Orchards,Su3,Mittel schluffiger Sand,very_high_carbonate,2.2,7,0,65,27,18,0.95,17,23,18,4,32.5,63.5
Orchards,Lt3,Mittel toniger Lehm,high_carbonate,5.1,7.2,0,37,21,41,1.34,11,42,26,40,40,20
Vineyards,Ls3,Mittel sandiger Lehm,high_carbonate,3.4,7.1,0,43,25,30,0.74,17,66,16,21,35,44
Orchards,Us,Sandiger Schluff,high_carbonate,3,7.3,0,14,19,16,0.66,28,37,17,4,65,31
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,3.3,7.3,0,29,14,19,0.57,15,45,15,10,25,65
Orchards,Su3,Mittel schluffiger Sand,low_medium_carbonate,1.7,7.1,0,23,13,20,0.5,12,53,19,4,32.5,63.5
Orchards,Us,Sandiger Schluff,very_high_carbonate,2.5,7.1,0,31,15,21,0.43,15,42,17,4,65,31
Vineyards,Ls3,Mittel sandiger Lehm,high_carbonate,3.9,7,0,44,25,40,0.73,69,475,44,21,35,44
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,3.1,7.5,0,16,20,23,0.7,14,10,10,4,32.5,63.5
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,1.5,7.1,0,33,20,19,0.4,14,10,20,4,32.5,63.5
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,2.2,7.4,0,5,20,27,0.51,19,8,4,4,32.5,63.5
Orchards,Us,Sandiger Schluff,high_carbonate,5,7.2,0,45,37,31,1.31,14,74,22,4,65,31
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,3.3,7.2,0,35,18,19,0.49,14,51,13,4,32.5,63.5
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,3.9,7.2,0,20,20,55,0.97,54,14,9,10,25,65
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,1.8,7.3,0,13,19,15,0.49,21,9,7,4,32.5,63.5
Orchards,Sl2,Schwach lehmiger Sand,high_carbonate,2.5,7.2,0,25,23,15,0.43,20,17,14,6.5,17.5,76
Orchards,Us,Sandiger Schluff,high_carbonate,3.7,7.2,0,35,18,20,0.41,15,66,17,4,65,31
Orchards,Ut3,Mittel toniger Schluff,high_carbonate,5,7.2,0,18,20,26,0.66,14,16,74,14.4,75.3,10.3
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,6.2,7.2,0,43,90,44,1.27,14,57,21,10,25,65
Orchards,Ut3,Mittel toniger Schluff,low_medium_carbonate,3.8,6.4,0,17,11,18,0.51,54,13,3,14.4,75.3,10.3
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,3.9,6.7,0,50,27,32,1.03,68,103,35,10,25,65
Orchards,Sl2,Schwach lehmiger Sand,low_medium_carbonate,6.2,6.2,0,55,27,25,1.53,77,13,33,6.5,17.5,76
Orchards,Ut3,Mittel toniger Schluff,low_medium_carbonate,8.7,6.9,0,8,10,56,1.37,30,22,24,14.4,75.3,10.3
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,6.4,6.5,0,31,25,26,0.98,78,19,23,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,2.5,7.1,0,32,10,17,0.5,15,100,20,10,25,65
Orchards,Ut3,Mittel toniger Schluff,high_carbonate,4.3,7.2,0,31,24,30,1.08,19,27,18,14.4,75.3,10.3
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,5.1,6.9,0,50,9,21,0.58,14,91,46,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,5.2,7.1,0,21,14,37,1.43,30,10,16,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,5.3,6.2,0,15,11,23,0.73,49,13,8,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,6.3,5.6,10,7,7,23,0.56,77,6,9,10,25,65
Orchards,Us,Sandiger Schluff,no_free_carbonate,4.9,6.3,0,17,5,22,0.81,66,14,10,4,65,31
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,4.6,6.1,0,14,18,15,0.67,79,9,16,10,25,65
Orchards,Ls3,Mittel sandiger Lehm,high_carbonate,7.2,7.2,0,16,25,48,1.26,25,32,15,21,35,44
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,2.5,6.8,0,46,29,16,0.43,26,93,47,4,32.5,63.5
Orchards,Slu,Schluffig-lehmiger Sand,low_medium_carbonate,9.3,6.6,0,40,87,50,2.26,28,16,26,12.5,45,42.5
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,2.5,7.3,0,37,20,26,0.58,24,17,15,4,32.5,63.5
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,3.8,6.9,0,69,24,26,0.84,38,87,29,4,32.5,63.5
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,5.4,7.1,0,30,14,31,1.43,49,15,16,10,25,65
Orchards,Ls3,Mittel sandiger Lehm,high_carbonate,6.2,7,0,32,28,33,1.17,23,52,24,21,35,44
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,7.4,6.9,0,34,38,53,1.22,33,18,16,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,3.1,6.4,0,13,16,26,1.18,171,97,25,10,25,65
Orchards,Ls3,Mittel sandiger Lehm,high_carbonate,8.5,7.2,0,70,44,47,1.33,23,88,38,21,35,44
Orchards,Ut3,Mittel toniger Schluff,high_carbonate,4.2,7.2,0,19,21,23,0.75,16,81,13,14.4,75.3,10.3
Orchards,Lu,Schluffiger Lehm,high_carbonate,3.5,7.4,0,9,13,25,0.64,15,80,18,23.5,57.5,19
Orchards,Us,Sandiger Schluff,high_carbonate,1.1,7.3,0,16,21,12,0.28,20,10,6,4,65,31
Orchards,Us,Sandiger Schluff,high_carbonate,1,7.4,0,9,19,11,0.27,18,8,4,4,65,31
Orchards,Us,Sandiger Schluff,high_carbonate,6,7.2,0,33,27,36,0.99,9,12,19,4,65,31
Vineyards,Ls3,Mittel sandiger Lehm,high_carbonate,2.6,7.4,0,13,22,24,0.53,24,59,19,21,35,44
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,4.5,7.7,0,56,33,33,2.07,22,31,19,4,32.5,63.5
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,3.1,6.7,0,47,32,18,0.75,36,33,41,4,32.5,63.5
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,2.8,6.6,0,60,30,19,0.88,25,102,38,4,32.5,63.5
Orchards,Slu,Schluffig-lehmiger Sand,high_carbonate,3,7.2,0,34,35,22,0.59,23,30,16,12.5,45,42.5
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,6,5.1,35,38,32,17,0.73,94,17,23,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,6.3,6.2,0,31,40,21,1.61,74,16,24,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,9,6.6,0,78,26,30,1.96,54,11,36,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,no_free_carbonate,7.5,5.4,20,43,80,20,1.27,144,32,32,10,25,65
Orchards,Slu,Schluffig-lehmiger Sand,low_medium_carbonate,3.4,6.4,0,14,9,17,0.77,57,8,3,12.5,45,42.5
