"","land_use","texture","ph","som","p","k"
"1","Orchards","Ls3",7.2,4.3,26,22
"2","Orchards","Lt3",7.2,5.1,37,21
"3","Orchards","Lu",7.25,4.25,24,26.5
"4","Orchards","Sl2",7,3.8,25,20
"5","Orchards","Sl3",6.5,5.2,28,22
"6","Orchards","Sl4",7.1,5.2,48,32
"7","Orchards","Slu",7.05,5.55,28,26
"8","Orchards","Su3",7,2.8,23,19
"9","Orchards","Us",7,3.7,22.5,17
"10","Orchards","Ut3",7.2,4.5,24,21
"11","Vineyards","Ls3",7.1,4,27,25
"12","Vineyards","Lu",7.35,3.6,16,29
"13","Vineyards","Sl2",6.4,4.65,18.5,25
"14","Vineyards","Sl3",6.85,3.95,24.5,24.5
"15","Vineyards","Sl4",7,5,37,29
"16","Vineyards","Su3",6.8,2.4,25.5,22.5
"17","Vineyards","Us",7.1,2.85,29.5,19.5
"18","Vineyards","Ut3",7.6,4.2,20,20
