landuse,texture,ph,som,cu,zn
Orchards,Su3,7,2.2,23,18
Orchards,Lt3,7.2,5.1,42,26
Vineyards,Ls3,7.1,3.4,66,16
Orchards,Us,7.3,3,37,17
Orchards,Sl3,7.3,3.3,45,15
Orchards,Su3,7.1,1.7,53,19
Orchards,Us,7.1,2.5,42,17
Vineyards,Ls3,7,3.9,475,44
Orchards,Su3,7.5,3.1,10,10
Orchards,Su3,7.1,1.5,10,20
Orchards,Su3,7.4,2.2,8,4
Orchards,Us,7.2,5,74,22
Orchards,Su3,7.2,3.3,51,13
Orchards,Sl3,7.2,3.9,14,9
Orchards,Su3,7.3,1.8,9,7
Orchards,Sl2,7.2,2.5,17,14
Orchards,Us,7.2,3.7,66,17
Orchards,Ut3,7.2,5,16,74
Orchards,Sl3,7.2,6.2,57,21
Orchards,Ut3,6.4,3.8,13,3
Orchards,Sl3,6.7,3.9,103,35
Orchards,Sl2,6.2,6.2,13,33
Orchards,Ut3,6.9,8.7,22,24
Orchards,Sl3,6.5,6.4,19,23
Orchards,Sl3,7.1,2.5,100,20
Orchards,Ut3,7.2,4.3,27,18
Orchards,Sl3,6.9,5.1,91,46
Orchards,Sl3,7.1,5.2,10,16
Orchards,Sl3,6.2,5.3,13,8
Orchards,Sl3,5.6,6.3,6,9
Orchards,Us,6.3,4.9,14,10
Orchards,Sl3,6.1,4.6,9,16
Orchards,Ls3,7.2,7.2,32,15
Orchards,Su3,6.8,2.5,93,47
Orchards,Slu,6.6,9.3,16,26
Orchards,Su3,7.3,2.5,17,15
Orchards,Su3,6.9,3.8,87,29
Orchards,Sl3,7.1,5.4,15,16
Orchards,Ls3,7,6.2,52,24
Orchards,Sl3,6.9,7.4,18,16
Orchards,Sl3,6.4,3.1,97,25
Orchards,Ls3,7.2,8.5,88,38
Orchards,Ut3,7.2,4.2,81,13
Orchards,Lu,7.4,3.5,80,18
Orchards,Us,7.3,1.1,10,6
Orchards,Us,7.4,1,8,4
Orchards,Us,7.2,6,12,19
Vineyards,Ls3,7.4,2.6,59,19
Orchards,Su3,7.7,4.5,31,19
Orchards,Su3,6.7,3.1,33,41
Orchards,Su3,6.6,2.8,102,38
Orchards,Slu,7.2,3,30,16
Orchards,Sl3,5.1,6,17,23
Orchards,Sl3,6.2,6.3,16,24
Orchards,Sl3,6.6,9,11,36
Orchards,Sl3,5.4,7.5,32,32
Orchards,Slu,6.4,3.4,8,3
Orchards,Ls3,7.1,2.8,14,6
Orchards,Sl3,6.1,6.5,11,18
Orchards,Sl3,6.9,3.5,48,35
Orchards,Sl3,5.8,4.7,25,14
Orchards,Sl3,7.1,4.4,13,11
Orchards,Ls3,7.2,7.7,118,47
Orchards,Su3,7,2.6,60,26
Orchards,Us,7.3,1.5,10,8
Orchards,Sl3,7.1,3.9,24,19
Orchards,Sl2,7.3,2.7,33,20
Orchards,Sl3,7.3,5.9,44,27
Orchards,Sl3,7.1,3.5,8,10
Orchards,Sl3,6.2,10.5,117,129
Orchards,Us,5.9,4.4,18,16
Orchards,Sl3,5,6.3,18,42
Orchards,Sl3,5.4,7.4,20,38
Orchards,Sl3,6.1,7.2,17,23
Orchards,Sl3,6.2,5.2,14,15
Orchards,Sl3,6.4,4.8,14,16
Orchards,Su3,7.2,2.6,21,12
Vineyards,Sl3,7.3,4.9,135,28
Orchards,Sl3,5.9,4.8,11,11
Orchards,Sl3,5.4,6,11,19
Orchards,Sl3,6.5,4,16,17
Orchards,Sl3,5.2,3.6,13,15
Orchards,Sl3,6.3,6.7,20,43
Orchards,Sl3,5.3,5.2,17,15
Orchards,Sl3,6.1,6.6,15,21
Orchards,Us,7,4.1,9,13
Orchards,Sl2,5.9,7.6,23,20
Orchards,Us,6.4,4.3,13,10
Orchards,Us,6,3.6,17,13
Orchards,Sl3,6,5.4,31,30
Vineyards,Sl3,5.9,2.5,257,18
